Estimate,Est Length,Bill No,Item,Stretch,Length,Mbook,Pages,Date
Main,8000,Bill No. 11,Embankment,500-1000,500,17005,20-25,27-06-2025
Main,8000,Bill No. 11,Embankment,1000-1100,100,17005,20-25,27-06-2025
Main,8000,Bill No. 12,Embankment,1450-1500,50,17005,34-37,29-07-2025
Main,8000,Bill No. 09,Embankment,1500-2000,500,17005,11-14,20-05-2025
Main,8000,Bill No. 08,Embankment,2000-2300,300,17005,7-9,17-04-2025
Main,8000,Bill No. 14,Embankment,2300-2350,50,17005,50-51,20-09-2025
Main,8000,Bill No. 10,Embankment,2350-2625,275,17005,16-18,20-06-2025
Main,8000,Bill No. 15,Embankment,2900-3000,100,17005,69-71,28-10-2025
Main,8000,Bill No. 15,Embankment,3125-3150,25,17005,69-71,28-10-2025
Main,8000,Bill No. 12,Embankment,3150-3275,125,17005,34-37,29-07-2025
Main,8000,Bill No. 07,Embankment,3275-3600,325,17005,1-5,25-03-2025
Main,8000,Bill No. 07,Embankment,3600-3775,175,17005,1-5,25-03-2025
Main,8000,Bill No. 12,Embankment,3775-3950,175,17005,34-37,29-07-2025
Main,8000,Bill No. 10,Embankment,4025-4300,275,17006,13-15,20-06-2025
Main,8000,Bill No. 08,Embankment,4425-4675,250,17006,7-11,17-04-2025
Main,8000,Bill No. 08,Embankment,4675-4725,50,17006,7-11,17-04-2025
Main,8000,Bill No. 15,Embankment,4725-5000,275,17006,56-57,18-11-2025
Main,8000,Bill No. 11,Embankment,5350-5500,150,17006,17-20,27-06-2025
Main,8000,Bill No. 11,Embankment,5500-5600,100,17006,17-20,27-06-2025
Main,8000,Bill No. 12,Embankment,5650-5800,150,17006,28-30,29-07-2025
Main,8000,Bill No. 11,Embankment,6050-6150,100,17006,17-20,27-06-2025
Main,8000,Bill No. 12,Embankment,6275-6300,25,17006,28-30,29-07-2025
Main,8000,Bill No. 07,Embankment,6300-6450,150,17006,1-4,25-03-2025
Main,8000,Bill No. 08,Embankment,6550-6775,225,17006,7-11,17-04-2025
Main,8000,Bill No. 08,Embankment,6775-6875,100,17006,7-11,17-04-2025
Main,8000,Bill No. 12,Embankment,6875-6950,75,17006,28-30,29-07-2025
Main,8000,Bill No. 16,Embankment,6950-7000,50,17005,80-81,20-12-2025
Main,8000,Bill No. 16,Embankment,7000-7150,150,17005,80-81,20-12-2025
Main,8000,Bill No. 07,Embankment,7150-7300,150,17006,1-4,25-03-2025
Main,8000,Bill No. 12,Subgrade,500-1000,500,17005,38-40,05.08.2025
Main,8000,Bill No. 15,Subgrade,1000-1100,100,17005,72-73,04.11.2025
Main,8000,Bill No. 12,Subgrade,1500-1620,120,17005,38-40,05.08.2025
Main,8000,Bill No. 11,Subgrade,1620-2300,680,17005,26-28,04.07.2025
Main,8000,Bill No. 14,Subgrade,2300-2370,70,17005,52-53,27.09.2025
Main,8000,Bill No. 11,Subgrade,2370-2620,250,17005,26-28,04.07.2025
Main,8000,Bill No. 15,Subgrade,2900-3200,300,17005,72-73,04.11.2025
Main,8000,Bill No. 12,Subgrade,3200-3275,75,17005,38-40,05.08.2025
Main,8000,Bill No. 11,Subgrade,3275-3375,100,17005,26-28,04.07.2025
Main,8000,Bill No. 12,Subgrade,3375-3400,25,17005,38-40,05.08.2025
Main,8000,Bill No. 12,Subgrade,3400-3950,550,17005,38-40,05.08.2025
Main,8000,Bill No. 12,Subgrade,4050-4300,250,17006,31-32,05.05.2025
Main,8000,Bill No. 11,Subgrade,4440-4700,260,17006,21-22,04.07.2025
Main,8000,Bill No. 12,Subgrade,5650-5800,150,17006,31-32,05.05.2025
Main,8000,Bill No. 12,Subgrade,6050-6140,90,17006,31-32,05.05.2025
Main,8000,Bill No. 11,Subgrade,6280-6420,140,17006,21-22,04.07.2025
Main,8000,Bill No. 11,Subgrade,6660-6920,260,17006,21-22,04.07.2025
Main,8000,Bill No. 12,Subgrade,7150-7300,150,17006,31-32,05.05.2025
Main,8000,Bill No. 13,Subgrade,7640-8000,360,17006,39-40,06.09.2025
Main,8000,Bill No. 15,GSB V,620-1000,380,17005,74-75,09.11.2025
Main,8000,Bill No. 14,GSB V,1500-1560,60,17005,54-55,30.09.2025
Main,8000,Bill No. 12,GSB V,1560-1900,340,17005,41-42,08.08.2025
Main,8000,Bill No. 11,GSB V,1900-2270,370,17005,29-30,10.07.2025
Main,8000,Bill No. 14,GSB V,2270-2380,110,17005,54-55,30.09.2025
Main,8000,Bill No. 12,GSB V,2380-2620,240,17005,41-42,08.08.2025
Main,8000,Bill No. 15,GSB V,3150-3200,50,17005,74-75,09.11.2025
Main,8000,Bill No. 12,GSB V,3200-3275,75,17005,41-42,08.08.2025
Main,8000,Bill No. 11,GSB V,3275-3375,100,17005,29-30,10.07.2025
Main,8000,Bill No. 12,GSB V,3375-3950,575,17005,41-42,08.08.2025
Main,8000,Bill No. 12,GSB V,4050-4300,250,17006,33-34,08.08.2025
Main,8000,Bill No. 11,GSB V,4440-4700,260,17006,23-24,10.07.2025
Main,8000,Bill No. 12,GSB V,5650-5800,150,17006,33-34,08.08.2025
Main,8000,Bill No. 12,GSB V,6050-6140,90,17006,33-34,08.08.2025
Main,8000,Bill No. 11,GSB V,6280-6420,140,17006,23-24,10.07.2025
Main,8000,Bill No. 11,GSB V,6660-6920,260,17006,23-24,10.07.2025
Main,8000,Bill No. 12,GSB V,7150-7300,150,17006,33-34,08.08.2025
Main,8000,Bill No. 15,GSB III,620-1000,380,17005,76-77,13.11.2025
Main,8000,Bill No. 14,GSB III,1500-1560,60,17005,56-57,02.10.2025
Main,8000,Bill No. 12,GSB III,1560-2270,710,17005,43-45,14.08.2025
Main,8000,Bill No. 14,GSB III,2270-2380,110,17005,56-57,02.10.2025
Main,8000,Bill No. 12,GSB III,2380-2620,240,17005,43-45,14.08.2025
Main,8000,Bill No. 15,GSB III,3150-3200,50,17005,76-77,13.11.2025
Main,8000,Bill No. 12,GSB III,3200-3275,75,17005,43-45,14.08.2025
